date,extent,area,data-type,region
1979-1,15.41,12.41,Goddard,N
1980-1,14.86,11.94,Goddard,N
1981-1,14.91,11.91,Goddard,N
1982-1,15.18,12.19,Goddard,N
1983-1,14.94,12.01,Goddard,N
1984-1,14.47,11.68,Goddard,N
1985-1,14.72,11.69,Goddard,N
1986-1,14.89,11.88,Goddard,N
1987-1,14.97,11.90,Goddard,N
1988-1,-9999,-9999,-9999,N
1989-1,14.95,13.18,Goddard,N
1990-1,14.78,12.80,Goddard,N
1991-1,14.36,12.57,Goddard,N
1992-1,14.64,12.61,Goddard,N
1993-1,14.90,12.93,Goddard,N
1994-1,14.73,12.88,Goddard,N
1995-1,14.59,12.79,Goddard,N
1996-1,14.18,12.15,Goddard,N
1997-1,14.42,12.39,Goddard,N
1998-1,14.72,12.81,Goddard,N
1999-1,14.36,12.60,Goddard,N
2000-1,14.22,12.30,Goddard,N
2001-1,14.20,12.35,Goddard,N
2002-1,14.27,12.26,Goddard,N
2003-1,14.39,12.29,Goddard,N
2004-1,14.03,12.26,Goddard,N
2005-1,13.66,11.92,Goddard,N
2006-1,13.47,11.65,Goddard,N
2007-1,13.70,11.86,Goddard,N
2008-1,13.89,12.30,Goddard,N
2009-1,13.91,12.32,Goddard,N
2010-1,13.74,12.04,Goddard,N
2011-1,13.46,11.83,Goddard,N
2012-1,13.73,12.21,Goddard,N
2013-1,13.70,12.02,Goddard,N
2014-1,13.65,12.10,Goddard,N
2015-1,13.60,12.17,Goddard,N
2016-1,13.46,11.80,Goddard,N
2017-1,13.19,11.37,Goddard,N
2018-1,13.08,11.70,Goddard,N
2019-1,13.57,12.14,Goddard,N
2020-1,13.64,12.15,Goddard,N
2021-1,13.50,11.75,Goddard,N
2022-1,13.88,12.22,NRTSI-G,N
1979-2,16.18,13.18,Goddard,N
1980-2,15.96,12.90,Goddard,N
1981-2,15.60,12.53,Goddard,N
1982-2,15.97,12.87,Goddard,N
1983-2,16.01,12.94,Goddard,N
1984-2,15.30,12.26,Goddard,N
1985-2,15.47,12.48,Goddard,N
1986-2,15.78,12.62,Goddard,N
1987-2,16.05,13.02,Goddard,N
1988-2,15.58,13.57,Goddard,N
1989-2,15.50,13.36,Goddard,N
1990-2,15.58,13.42,Goddard,N
1991-2,15.25,13.22,Goddard,N
1992-2,15.46,13.58,Goddard,N
1993-2,15.69,13.61,Goddard,N
1994-2,15.56,13.52,Goddard,N
1995-2,15.23,13.37,Goddard,N
1996-2,15.15,12.98,Goddard,N
1997-2,15.44,13.44,Goddard,N
1998-2,15.75,13.77,Goddard,N
1999-2,15.31,13.45,Goddard,N
2000-2,15.14,13.09,Goddard,N
2001-2,15.21,13.22,Goddard,N
2002-2,15.34,13.42,Goddard,N
2003-2,15.19,13.23,Goddard,N
2004-2,14.91,12.94,Goddard,N
2005-2,14.37,12.35,Goddard,N
2006-2,14.32,12.35,Goddard,N
2007-2,14.51,12.58,Goddard,N
2008-2,14.95,13.21,Goddard,N
2009-2,14.81,13.21,Goddard,N
2010-2,14.58,12.96,Goddard,N
2011-2,14.36,12.76,Goddard,N
2012-2,14.55,12.72,Goddard,N
2013-2,14.72,13.20,Goddard,N
2014-2,14.42,12.56,Goddard,N
2015-2,14.40,12.85,Goddard,N
2016-2,14.20,12.43,Goddard,N
2017-2,14.12,12.32,Goddard,N
2018-2,13.97,12.31,Goddard,N
2019-2,14.39,12.76,Goddard,N
2020-2,14.64,12.95,Goddard,N
2021-2,14.39,12.76,Goddard,N
2022-2,14.61,12.86,NRTSI-G,N
1979-3,16.34,13.21,Goddard,N
1980-3,16.04,12.99,Goddard,N
1981-3,15.63,12.71,Goddard,N
1982-3,16.04,13.07,Goddard,N
1983-3,16.09,12.93,Goddard,N
1984-3,15.58,12.55,Goddard,N
1985-3,15.89,12.75,Goddard,N
